LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_chi2dof,L_chi2dofR,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Zchi2dof,Zchi2dofR,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score
4282396,0.392234,0.392238,0.392236,1.00001,311,11.6,2.4,11.9,2.6,15.25,0.51,885,47.1,5.9,47.3,5.9,15.34,0.54,2.5495,2.5833,29.5465,0.064,13.6785,2.5495,2.555,181.1594,0.0014,13.4329,0.03,1e-05,-,LZ5,5
4320492,0.361005,0.360942,0.360974,0.999825,480,15.1,3.7,60.7,8.5,14.44,0.26,290,11.2,1.8,59.3,7.9,14.41,0.29,2.77,2.8039,29.5116,0.0479,22.7361,2.7705,2.7761,180.9955,0.0204,18.423,0.03,0.00017,-,LZ4,6
4327168,0.330944,0.330937,0.33094,0.999979,482,1.4,1.1,1.8,1.2,15.62,0.39,182,11.3,2.8,14.0,3.0,15.62,0.56,3.0217,3.0555,29.5116,0.0684,24.8728,3.0217,3.0299,121.8769,0.0161,32.6421,0.17,2e-05,-,LZ3,5
4512465,0.533053,0.533051,0.533052,0.999996,233,4.3,1.1,4.3,1.2,15.51,0.83,1039,47.6,3.4,47.5,3.5,15.43,1.13,1.876,1.9255,20.1816,0.092,5.9057,1.876,1.9394,15.7791,0.0079,17.9495,0.3,0.0,-,LZ4,6
4551971,0.532348,0.532366,0.532357,1.000034,291,1.9,1.1,3.2,1.2,15.4,0.98,582,53.4,3.7,77.8,4.1,15.3,1.24,1.8785,1.9406,16.1005,0.0805,6.6127,1.8784,1.9406,16.0862,0.0133,17.5356,0.26,3e-05,-,LZ4,7
4804945,0.556172,0.556217,0.556194,1.000081,279,12.5,2.5,13.0,2.8,15.49,0.58,889,100.5,7.8,101.2,7.4,15.47,0.56,1.798,1.8683,14.2268,0.0349,6.1948,1.7979,1.8017,258.3979,0.0033,11.3557,0.02,8e-05,-,LZ5,7
4912051,0.571577,0.571435,0.571506,0.999752,638,9.4,2.1,24.7,2.9,15.61,0.63,311,133.5,8.2,193.3,10.5,15.75,0.7,1.7495,1.7835,29.4855,0.0387,11.1132,1.75,1.7528,356.5062,0.009,14.0683,0.07,0.00025,-,LZ5,8
5168861,0.597417,0.597442,0.59743,1.000042,198,5.0,1.7,6.3,1.9,14.91,0.59,691,21.9,3.1,28.0,3.5,14.87,0.58,1.6739,1.7168,23.3127,0.081,6.1403,1.6738,1.6793,180.3427,0.0014,9.6862,0.01,4e-05,-,LZ4,5
5308437,0.46268,0.462679,0.46268,0.999998,365,88.0,3.7,88.0,3.7,14.07,0.92,634,16.6,2.5,16.7,2.5,13.86,1.08,2.1613,2.2406,12.6119,0.0695,15.6799,2.1613,2.2407,12.6056,0.0168,13.7483,0.16,0.0,-,LZ4,6
5421989,0.53451,0.534527,0.534518,1.000032,288,0.8,0.8,0.9,0.8,16.38,0.76,2670,13.5,2.5,18.9,2.4,16.21,0.85,1.8709,1.9414,14.1884,0.0538,8.7567,1.8708,1.9368,15.1561,0.0186,17.6914,0.09,3e-05,-,LZ3,5
5424357,0.517283,0.51728,0.517281,0.999994,240,1.3,1.0,1.3,0.9,16.07,0.85,1096,22.9,2.8,23.0,2.9,16.08,1.15,1.9332,2.0037,14.1814,0.1065,6.5134,1.9332,1.968,28.7315,0.0168,24.9942,0.3,1e-05,-,LZ3,5
5530643,0.490349,0.490334,0.490342,0.999969,545,1.8,0.9,2.8,1.0,15.71,1.24,658,14.7,2.2,28.6,2.1,15.74,0.98,2.0394,2.0733,29.4768,0.1302,18.253,2.0394,2.0424,339.5586,0.042,11.1214,0.26,3e-05,-,LZ3,6
5692103,0.583147,0.583149,0.583148,1.000003,375,3.2,1.2,3.3,1.2,15.43,1.04,884,23.7,3.4,23.3,3.4,15.52,0.83,1.7148,1.7176,357.7818,0.0888,6.4057,1.7148,1.7232,119.3317,0.0085,15.1424,0.21,0.0,-,LZ4,6
5844704,0.530367,0.530401,0.530384,1.000064,197,1.9,1.5,2.9,1.4,15.92,0.97,1506,19.1,3.1,29.7,4.1,16.2,0.56,1.8855,1.9387,18.7811,0.0793,4.3641,1.8854,1.944,17.0459,0.0063,14.8073,0.41,6e-05,-,LZ4,8
5977769,0.555959,0.555952,0.555956,0.999987,359,1.7,1.1,1.8,1.1,16.04,0.82,795,22.1,3.2,26.3,3.2,16.03,0.94,1.7987,1.8325,29.5814,0.0352,10.251,1.7987,1.8016,349.0401,0.1265,4.4195,0.12,1e-05,-,LZ4,5
6022777,0.495745,0.495724,0.495734,0.999958,572,8.2,1.6,16.9,1.6,15.19,1.01,328,44.3,4.2,78.7,4.2,15.16,1.34,2.0172,2.0244,138.6963,0.0572,13.0042,2.0173,2.0245,138.6001,0.0202,24.102,0.33,4e-05,-,LZ4,7
6248770,0.486017,0.486023,0.48602,1.000012,516,11.0,2.0,11.5,1.9,15.16,0.88,228,80.4,3.7,86.3,4.0,15.05,1.22,2.0575,2.0941,27.356,0.0505,13.9266,2.0575,2.0849,36.5631,0.0065,11.5118,0.34,1e-05,-,LZ4,6
6651516,0.308488,0.308496,0.308492,1.000026,426,2.1,1.3,3.5,1.7,15.25,0.36,448,60.9,5.8,64.2,5.2,15.25,0.48,3.2416,3.2755,29.4724,0.0439,26.5685,3.2415,3.3595,8.4767,0.0031,12.7208,0.12,3e-05,-,LZ5,7
6819457,0.436282,0.436265,0.436274,0.999961,325,32.5,3.6,39.8,3.9,15.03,0.95,1358,121.2,9.6,136.2,10.4,15.11,0.79,2.2921,2.295,346.0208,0.0669,9.4986,2.2922,2.3005,120.048,0.0205,11.7902,0.16,4e-05,-,LZ5,8
6844511,0.591013,0.591001,0.591007,0.99998,241,5.5,1.4,6.2,1.5,15.81,0.96,571,38.6,4.6,51.1,4.8,15.87,0.89,1.692,1.726,29.4334,0.1824,9.1479,1.692,1.695,337.2681,0.0784,6.7819,0.07,2e-05,-,LZ4,5
6967017,0.529691,0.529677,0.529684,0.999974,323,13.3,2.3,15.2,2.3,14.63,0.63,231,70.6,6.9,79.5,7.1,14.57,0.96,1.8879,1.9218,29.4724,0.0791,14.2362,1.8879,1.9467,17.0111,0.0095,13.6909,0.33,3e-05,-,LZ5,8
7048826,0.317781,0.31779,0.317786,1.000028,535,4.0,1.4,8.0,1.9,14.93,0.5,597,55.3,5.9,62.3,4.9,14.93,0.46,3.1468,3.1807,29.4942,0.0464,26.9053,3.1467,3.1497,338.4095,0.0254,16.6105,0.04,3e-05,-,LZ5,6
7119535,0.576808,0.576796,0.576802,0.999979,623,1.8,0.9,1.8,1.0,16.62,0.5,276,30.2,3.5,30.7,3.3,16.76,0.84,1.7337,1.7676,29.4855,0.0558,13.4506,1.7337,1.7365,353.3569,0.0328,19.3814,0.34,2e-05,-,LZ4,6
7337289,0.404115,0.404114,0.404114,0.999998,552,4.4,1.7,4.4,1.8,15.53,0.37,248,25.4,3.9,25.4,3.9,15.62,0.51,2.4745,2.5084,29.5508,0.0413,18.8369,2.4745,2.555,12.4285,0.0026,6.5204,0.14,0.0,-,LZ4,5
7344401,0.330201,0.330226,0.330214,1.000076,397,5.9,1.8,9.5,2.3,15.15,0.36,1164,22.0,2.7,36.4,3.8,15.12,0.48,3.0285,3.13,9.8449,0.0174,8.5404,3.0282,3.0393,89.9281,0.0016,19.5173,0.12,8e-05,-,LZ3,6
